[2026-05-15 22:54:37] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:38] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:54:39] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:41] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:54:42] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:54:43] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:54:44] MOVE chetan (red): 27→31 [0.8ms]
[2026-05-15 22:54:45] MOVE asha (blue): 94→90 [0.6ms]
[2026-05-15 22:54:46] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:47] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:54:48] MOVE chetan (red): 27→31 [0.5ms]
[2026-05-15 22:54:49] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:54:51] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:52] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:54:53] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:54:54] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:54:55] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:54:56] MOVE asha (blue): 90→94 [0.5ms]
[2026-05-15 22:54:57] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:58] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:55:00] MOVE chetan (red): 31→27 [0.4ms]
[2026-05-15 22:55:01] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:55:02] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:55:03] MOVE asha (blue): 94→90 [0.5ms]
[2026-05-15 22:55:04] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:55:05] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:55:06] MOVE chetan (red): 27→31 [0.5ms]
[2026-05-15 22:55:07] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:55:08] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:55:10] MOVE asha (blue): 90→94 [0.8ms]
[2026-05-15 22:55:11] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:55:12] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:55:13] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:55:14] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:55:15] MOVE chetan (red): 27→31 [0.4ms]
[2026-05-15 22:55:16] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:55:17] MOVE chetan (red): 31→27 [0.4ms]
[2026-05-15 22:55:18] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:55:20] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:55:21] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:55:22] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:55:23] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:55:24] MOVE chetan (red): 27→31 [0.4ms]
[2026-05-15 22:55:25] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:55:26] MOVE chetan (red): 31→27 [0.4ms]
[2026-05-15 22:55:27] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:55:28] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:55:29] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:55:31] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:55:32] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:55:33] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:55:34] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:55:35] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:55:36] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:55:37] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:55:38] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:55:39] MOVE chetan (red): 31→27 [0.7ms]
[2026-05-15 22:55:41] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:55:42] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:55:43] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:55:44] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:55:45] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:55:46] MOVE chetan (red): 27→31 [0.7ms]
[2026-05-15 22:55:47] MOVE asha (blue): 94→90 [0.2ms]
