[2026-05-08 22:39:34] MOVE asha (purple): 112→115 [0.1ms]
[2026-05-08 22:39:36] MOVE chetan (yellow): 85→108 [0.1ms]
[2026-05-08 22:39:37] MOVE asha (purple): 63→80 [0.1ms]
[2026-05-08 22:39:39] MOVE chetan (yellow): 108→85 [0.1ms]
[2026-05-08 22:39:41] MOVE asha (purple): 115→112 [0.1ms]
[2026-05-08 22:39:43] MOVE chetan (yellow): 85→108 [0.2ms]
[2026-05-08 22:39:44] MOVE asha (purple): 112→115 [0.2ms]
[2026-05-08 22:39:46] MOVE chetan (yellow): 50→40 [0.2ms]
[2026-05-08 22:39:48] MOVE asha (purple): 115→112 [0.2ms]
[2026-05-08 22:39:49] MOVE chetan (yellow): 108→85 [0.1ms]
[2026-05-08 22:39:51] MOVE asha (purple): 112→115 [0.2ms]
[2026-05-08 22:39:53] MOVE chetan (yellow): 26→38 [0.1ms]
[2026-05-08 22:39:55] MOVE asha (purple): 115→112 [0.1ms]
[2026-05-08 22:39:56] MOVE chetan (yellow): 38→39 [0.1ms]
[2026-05-08 22:39:58] MOVE asha (purple): 112→115 [0.1ms]
[2026-05-08 22:39:59] MOVE chetan (yellow): 85→108 [0.1ms]
[2026-05-08 22:40:01] MOVE asha (purple): 115→112 [0.1ms]
[2026-05-08 22:40:03] MOVE chetan (yellow): 108→85 [0.1ms]
[2026-05-08 22:40:05] MOVE asha (purple): 72→82 [0.1ms]
[2026-05-08 22:40:06] SCORE chetan (yellow): Final=453.0, Time=0.0, Moves(118)=0.0, Pins(3)=300.0, Dist=153.0
[2026-05-08 22:40:06] SCORE asha (purple): Final=121.0, Time=0.0, Moves(118)=0.0, Pins(0)=0.0, Dist=121.0
[2026-05-08 22:40:06] GAME TIME LIMIT REACHED.
[2026-05-08 22:40:06] SCORE chetan (yellow): Final=453.0, Time=0.0, Moves(118)=0.0, Pins(3)=300.0, Dist=153.0
[2026-05-08 22:40:06] SCORE asha (purple): Final=121.0, Time=0.0, Moves(118)=0.0, Pins(0)=0.0, Dist=121.0
[2026-05-08 22:40:06] GAME TIME LIMIT REACHED.
[2026-05-08 22:40:07] SCORE chetan (yellow): Final=453.0, Time=0.0, Moves(118)=0.0, Pins(3)=300.0, Dist=153.0
[2026-05-08 22:40:07] SCORE asha (purple): Final=121.0, Time=0.0, Moves(118)=0.0, Pins(0)=0.0, Dist=121.0
[2026-05-08 22:40:07] GAME TIME LIMIT REACHED.
